#visible_distance(float) space view_sector(float)
100 135
#sequence of units
#2D_position(float;float) space 2D_direction(float;float)
-4254.81;1459.85 -2.58751;3.92544
-3716.72;-3179.65 3.4344;-0.357219
4260.02;-6785.54 3.58791;3.76309
4644.67;-2961.37 4.04233;-2.07846
-3082.28;-3960.31 -0.815912;0.427717
5880.41;99.7744 -4.39177;0.543993
-26.8125;-4673.83 0.347148;0.0498981
-3333.75;1956.1 2.39982;4.90356
-6788.61;6998.22 1.62374;4.81231
2317.8;-6245.91 4.05606;3.52748
5252.83;-2564.73 -2.28294;-2.32627
6860.87;-2505.51 -2.02872;-3.07337
5046.34;3225.44 -3.50398;3.34895
-4099.65;815.972 2.92901;2.69982
1094.82;7585.58 3.25312;-4.46867
1397.25;-3371.88 3.9819;0.881527
212.058;767.896 -3.78994;0.374004
6082.8;953.536 -1.41316;-4.45341
-70.186;2838.06 3.27937;-3.78872
-7771.77;1593.81 3.98709;2.66137
-1305.22;1471.6 0.0688195;-0.460066
-7680.6;-4244.98 -4.15494;4.18302
-7774.61;-5479.18 -0.859249;-2.75719
-541.606;5892.11 -1.8749;-1.58589
3441.31;-5005.43 0.519883;-4.93377
6217.37;-5143.59 4.22697;-3.39808
3780.65;-1464.7 3.45088;2.34703
-1962.24;-3715.12 -0.633107;-4.20865
-5515.97;-7618.39 -0.594348;2.98822
-4029.21;2109.62 4.21262;-2.07419
-4976.1;5749.62 -3.65719;2.68639
6639.33;2123.54 -0.236061;-4.80102
1974;-3571.2 4.21354;2.40776
5801.35;1791.75 3.48842;1.65639
-2766.84;-188.949 1.72018;-1.88559
2774.19;2579.25 -3.2989;1.04663
5517.6;3672.38 4.32463;-3.25739
-3650.74;-7837.32 3.19941;0.923337
-3921.65;6434.72 3.5049;-1.57338
-4195.38;7564.48 -0.855281;2.99707
7204.67;6376.81 -2.73553;4.97833
-3423.8;3161.19 4.19614;-0.264443
4621.31;712.95 1.88894;4.60997
5199.19;-3404.66 3.89279;-2.78253
-5863.94;-5485.08 4.95422;2.91498
3174.96;3778.76 3.287;4.23185
-5663.45;3718.68 -0.41612;0.0917082
7353.98;-416.445 1.82607;-2.37022
-4457.29;4979.64 -0.0419626;4.42106
6232.59;-1352.32 -0.513169;3.9285
-489.31;5641.84 -1.92953;1.99179
-7235.92;4229.34 4.15738;-2.84112
-1917.12;-2472.35 1.73635;2.67968
-917.017;-1553.33 0.268411;2.97143
1043.19;-694.578 3.85006;2.37114
7284.1;5295.93 -1.31977;-1.01611
2974.67;-1487.45 2.893;1.44154
3858.92;6121.14 -2.18925;1.38539
-686.546;-2150.34 4.69176;-0.518357
4569.11;6555.79 -3.97824;-2.21274
4340.14;-7374.47 -4.57427;-3.72677
2639.83;3148.85 -4.74975;-3.67611
-7478.13;5208.71 -4.11435;-0.982849
-2417.09;7014.33 -4.10916;1.00604
-954.58;3537.53 -3.02087;-4.19187
-5486.76;-1303.54 2.93023;3.31996
2222.47;2386.92 -3.50917;-4.63714
5429.75;2888.53 3.32789;0.0810266
-3491.15;1524.97 -2.9104;2.99585
5344.98;99.9263 4.65056;-2.46544
4567.51;-3411.2 -4.41404;2.84539
348.096;5275.1 4.95483;1.70705
-2914.96;-242.654 3.4402;-3.64864
3344.27;-860.557 3.91934;-4.99206
3006.66;7418.33 -1.48061;-3.01813
-3897.02;-5002.79 -4.77325;-0.917844
1894.03;-6611.04 -1.89322;1.20838
3144.83;5413.74 0.200048;3.91018
6651.96;6062.67 3.15882;-4.26756
-5056.24;3064.57 2.6812;3.15943
6938.86;-7070.47 3.81161;0.964537
-2913.53;1213.31 -4.83489;-4.21201
-6975.36;-4232.78 -3.85891;0.747551
-2570.25;2769.74 -3.81466;3.89492
-2760.78;-5184.57 0.16953;-1.66463
-3589.78;6242.35 -1.05731;-3.18018
-3715.57;-1956.18 -0.876644;-1.38111
-3437.76;5804.67 1.19098;1.49861
3651.99;-929.193 -0.0584431;-3.39747
-5991.06;1154.23 -3.63186;-0.939207
7233.52;7592.49 -4.96796;2.13065
3248.18;1478.44 -4.01944;-2.31529
2931.42;-4404.19 -4.71831;0.863826
5570.41;-7762.54 3.2345;1.69637
-1131.04;-5671.45 4.31303;1.50716
-6569.24;5688.4 -2.08121;-3.07825
5899.26;-2548.79 3.99075;-0.716117
1058.98;-2342.64 2.54051;2.28996
-1208.77;-720.775 1.18152;-4.33531
-3822.56;229.884 -0.297098;-2.31834
4568.2;-4173.41 -4.23917;4.34324
-7191.38;2457.9 0.743279;-1.96585
5008.01;-4389.02 -0.12772;3.46156
-6139.73;-2616.66 -4.38871;3.69015
-2409.25;-6680.48 -1.56819;4.08902
-1712.9;7499.23 4.00632;-2.99921
-4219.34;169.576 0.890073;4.94659
-5439.78;-5093.52 -2.24479;-4.8233
13.5908;5860.17 4.23643;3.38496
2977.99;121.351 4.45036;-0.609607
1925.4;-2789.29 -2.74133;2.6104
-5100.92;-6358.45 2.3278;0.125889
6139.81;2154.17 -3.94864;-4.83917
1450.94;2979.32 -3.59706;-1.21784
7139.4;2889.36 0.771966;2.63451
5442.78;-539.585 -4.14701;-4.47569
-662.426;-580.962 3.64956;1.66372
7097.12;-2138.5 2.64916;3.38465
4694.85;4708.18 -1.75741;-3.85739
-2002.7;-6005.26 1.4391;-1.386
-6973.45;2800 -0.0532546;-4.29472
-571.068;5747.58 0.68041;-2.71508
7160.65;-5267.48 -2.24693;0.44969
-6560.49;-969.306 -4.9762;-1.85934
-6438.29;7350.12 -2.74529;1.9158
-3718.96;-4897.63 -1.05426;1.69912
-6261.07;2712.2 4.90631;0.311747
-6606.6;413.642 1.62954;-4.39726
-5590.21;4.99414 3.52931;-2.0098
1114.57;-6951.61 3.10083;-3.77804
-2002.26;4436.07 -0.927305;-0.823847
5594.24;-3169.78 1.60848;-3.49544
1494;-7293.62 -1.3802;-4.05911
-2786.3;-6294.43 2.25852;0.07828
-7124.91;1689.44 -0.355388;0.43199
6892.08;1721.06 -3.10419;1.60268
-3815.4;-6855.09 0.521409;3.34651
4173.15;6925.47 -4.76165;3.37031
-6042.89;-6998.22 2.28202;-1.34053
-251.033;-1506.43 -2.74102;-1.84225
7335.99;6715.73 1.62313;4.60143
-5833.52;-2044.07 -3.18171;-1.67074
6863.1;6715.43 -4.83489;0.880917
6340.94;4772.38 -3.45271;1.18549
-3546.13;7359.75 4.95911;2.16666
-4896.93;-1634.84 3.98129;0.566881
5885.29;-6000.61 -4.75585;-2.19077
484.229;-3488.77 -1.05853;4.70458
7499.72;1774.17 0.45732;-2.17978
6934.25;-995.012 2.1688;0.322123
5956.26;1959.17 4.48851;-4.90143
-4828.18;3284 -4.79492;2.9873
5469.62;192.287 1.19037;3.90652
-4101.04;-1334.93 1.52852;3.71364
-5418.91;4451.32 -3.8638;4.59593
5584.59;1363.97 -1.06647;1.81082
-4984.79;2786.6 -0.373699;4.58556
-2514.23;5994.96 3.16584;3.98862
3715.07;-2628.57 0.946226;-4.41252
-3308.09;-6578.05 2.80389;-0.294351
-1000.23;1634.53 3.87631;-2.91589
1791.1;-5142.63 -4.60784;2.77337
-4796.24;539.178 3.44661;-3.94681
1691.2;-5118.1 4.82543;-0.793939
6089.46;-1806.5 3.94711;2.9458
-5642.73;-569.268 -0.0224309;1.32313
-5260.49;-2469.66 -1.816;3.91263
7459.15;4809.72 4.58953;-1.89962
-3960.61;5213.23 -2.01071;-0.719779
-3115.99;7460.53 -1.60237;1.77206
-7131.24;-279.364 -4.02371;-1.72231
-4641.2;-7607.62 -0.480514;0.681326
-4100.94;2151.8 -1.451;0.0132756
-665.155;-6690.09 -1.91458;-1.61672
1251.88;1667.52 0.159459;0.701163
-2584.05;7398.97 1.1214;-1.00513
-3372.23;-843.59 -1.18427;-2.86248
680.883;-2627.34 -1.31855;-1.20167
338.625;-1427.04 2.83959;-3.57234
-2527.9;-3905.38 1.23218;4.09116
-6169.03;-7525.55 -1.12598;1.96219
3069.12;3992.71 -1.71712;-4.71191
-4438.58;3697.91 1.14215;-4.35698
2889.32;4636.38 -1.72903;-2.72607
-2582.46;-2629.69 1.95334;-3.63796
6012.53;5434.58 -0.306253;-3.99716
-4003.35;3838.11 3.46248;4.72503
-7717.01;-4872.84 3.49025;1.35182
-5166.74;3613.39 0.677053;4.02921
599.126;3794.15 -3.32453;-3.77926
-6903.33;7709.77 -4.28526;-2.50908
2560.78;2369.7 -2.77734;1.88589
7152.52;-7068.54 3.31294;1.7214
-5371.42;-2549.74 0.196386;-0.400861
1300.06;1464.66 -2.4163;-3.54793
-640.63;-3460.16 -4.86541;-1.55812
5947.4;2766.59 0.0239568;0.513779
6777.8;-1546.12 4.682;-0.575121
5843.57;-2983.66 -1.22761;4.06003
-5009.98;-6607.31 4.47325;-4.15983
277.34;4521.1 -0.882442;-2.95343
-981.286;3540.88 4.2645;-0.136876
3361.38;3028.75 -4.74548;3.95688
-3778.33;-5670.2 0.31785;-4.59655
-61.4683;-1735.48 3.29493;4.77752
-5560.41;-3899.33 -0.966674;-2.79199
-3928.49;-4011.37 -4.47752;2.22709
-1490.91;3794.73 1.83096;-3.78994
-5752.68;-838.221 -4.09726;-4.76989
-5821.6;-5586.71 1.28498;1.133
1397.14;-665.744 -3.16126;-1.35365
-4340.07;348.476 -1.49434;-3.65932
-7430.91;-6895.45 -2.81854;-0.754875
2533.26;7236.58 1.77297;-4.06034
-93.377;-7230.94 1.48549;-2.06778
4884.36;316.782 -3.58211;4.13083
3074.99;356.715 0.51683;-1.77175
5765.72;4938.58 -4.04263;1.8096
6662.05;6741.51 3.01324;0.99292
-660.266;-2003.83 4.47569;-0.580615
-3834.4;377.683 -1.31153;-4.59716
-2824.85;-1473.64 0.256508;-3.94803
3761.51;1050.99 2.49321;-3.82168
-5149.93;-1568.17 0.668202;4.8001
6556.79;-4569.06 0.120396;-2.94153
2091.99;-4714.55 -1.70553;4.35667
-3783.51;5469.66 4.76562;0.529649
-2140.76;3923.43 -1.68233;-3.13105
4251.14;-2939.67 -4.86816;3.80093
-4897.56;714.34 -2.84722;2.04001
6122.62;-1578.95 4.69085;1.02985
-312.369;572.872 2.32841;-2.5222
-3411.21;-2767.78 2.1868;1.80166
2052.75;5072.86 3.62056;-4.70061
5352.3;1285.35 3.39808;-4.14701
1551.65;6368.21 -4.56481;4.98108
7014.7;1050.48 4.14243;4.05026
1937.24;713.128 0.442671;2.46025
2121.75;3373.84 4.53612;-4.38536
-6588.09;-3802.9 4.45738;-4.51292
-7535.2;-2086.98 4.50133;1.60085
-1934.36;-647.129 2.57256;-4.77325
4419.64;-5348.61 0.52385;4.62188
-5686.74;-3982.29 -3.45637;4.10947
6680.33;-5814.39 3.66085;4.82543
-3110.27;3240.52 3.41975;-0.0672932
-1097.83;-1648.74 -1.20106;2.12241
507.978;-7445.89 -4.57335;-3.78658
-5304.62;-272.338 -4.83795;4.66155
2239.53;7097.89 1.10096;-1.21052
6563.67;-3903.27 -1.93075;3.55678
-4897.12;-3324.13 -2.32963;-1.32954
2108.06;-877.44 1.94205;3.86349
-5755.62;55.4619 4.68993;1.1391
224.86;6598.62 4.56206;1.80563
3673.79;-742.807 -1.07898;1.10431
433.929;-347.377 2.58019;-1.74825
287.456;-1758.18 0.467391;4.70122
6195.74;-4487.14 -1.72658;-1.55843
-3538.59;3791.13 0.156102;-2.85669
4133.39;2509.87 -2.44743;-2.03665
-2785.39;665.08 -1.82882;-3.1756
6482.35;44.644 -0.779901;4.97925
5303.6;-2359.31 3.93643;-4.33042
3497.49;4726.65 -4.52177;-1.2981
-2400.28;6485.88 -2.75353;-4.26298
-5598.68;-7120.95 3.6877;4.1232
-4733.67;-82.9243 0.653248;2.06961
4891.88;1098.42 -0.627918;2.9873
-2001.1;1623.72 3.09534;1.79617
-582.575;6683.86 0.480819;1.02039
-3215.54;2109.37 4.78179;-0.517136
-5619.04;1401.78 2.8927;1.40553
3848.16;6594.87 3.32606;-1.26362
4840.9;-1786.95 -2.82495;4.50957
-7290.38;652.665 1.12751;0.0532551
-6792.94;1685.23 -3.40724;3.85952
-6869.97;1888.9 4.0051;4.92309
3362.81;3281.17 -3.63582;-1.63045
4407.67;-1174.74 1.07898;-3.82138
6123.39;1497.79 4.17081;0.817743
2399.46;6387.46 -4.09482;4.5996
6578.25;959.8 1.91275;2.57195
-5726.58;-6634.27 -1.14338;1.76077
431.412;5789.69 -1.28132;4.56664
-1278.22;2808.82 0.756707;-0.8623
-6600.44;7258.92 -4.79705;4.5291
-2426.47;6932.74 -2.23777;3.45515
7221.61;-3728.33 -1.02649;0.457015
-3752.53;769.792 -2.50359;-1.71041
-4006.82;624.369 1.38874;0.344401
-5550.13;-1616.72 -3.56929;1.92129
-6585.01;-5579.67 -4.43358;-1.84225
4598.4;-7147.04 -1.48152;1.43483
2392.59;215.307 -4.3582;-3.93674
-4140.57;2119.98 -4.92218;3.07245
-6532.22;2275.14 -2.72607;2.90368
-7336.42;2301.37 -4.07559;-1.16718
-3362.85;6719.42 -0.595263;-1.07715
7286.11;-7404.74 1.75283;-0.674306
-3219.16;4396.96 -2.734;-3.25465
4914.5;-6597.71 -2.22831;2.87164
-1217.71;4302.33 -3.36177;-1.39943
-7428.75;-6967.96 -1.41469;0.853145
3043.13;284.763 -0.641957;-0.199438
3171.49;-4596.28 4.32646;-0.682241
-1828.28;-6979.16 0.0743127;-1.53401
5367;1053.32 -1.96188;-3.17133
1266.47;6243.14 4.25932;1.50349
-1870.3;-2322.37 4.30998;-1.43269
-6521.16;5901.45 -2.53716;-3.16981
546.01;5875.59 -0.843989;-3.31751
-5452.65;-3636.72 -4.17661;1.85385
-2122.87;-2625.78 1.15192;-3.10511
2188.05;4257.94 -2.17612;-1.80471
-3904.09;5443.53 3.81497;1.34693
-5679.09;-4200.19 -2.70013;2.66869
2196.47;1304.42 -0.76159;-2.29575
-5979.7;1430.48 -2.30277;4.50499
6432.71;-6898.11 2.97388;4.50865
-559.283;6524.65 -2.41874;-1.16901
-3111.48;-2588.23 0.163121;2.77795
6944.55;3754.86 -2.60765;-3.60591
6317.1;5099.27 2.92291;3.85861
5704.18;-5909.14 -2.54479;-0.459761
-6312.65;2300.34 -1.02374;3.52718
4590.1;-2709.37 -2.76269;4.43968
1208.15;864.224 1.53523;2.34153
169.856;-4064.72 -4.14579;-0.437178
-5869.1;2317.66 0.435041;2.24265
7387.6;-4681.74 3.83084;0.408795
6308.13;1729.62 4.51537;-0.594348
1018.83;1655.74 -3.89492;0.480514
-928.845;1062.23 -4.74609;3.34315
-4314.36;-5359.08 -3.70998;-1.48854
-4671.71;1631.47 1.64968;2.25394
6277.58;546.531 2.17856;1.94235
2989.67;6065.67 -3.64528;4.62737
-4834.63;-7308.07 2.50267;-3.352
1065.56;-594.444 3.0575;-2.90765
3343.86;-1343.05 4.94079;2.91345
3487.77;355.092 -4.88464;-1.47847
-4753.44;4582.74 -4.62462;-2.3394
3466.5;669.063 -4.56145;0.381329
-6357.45;5485.21 -1.5981;2.92535
-4401.97;5023.46 -2.37815;3.33277
4100.4;4353.31 -0.915098;0.583056
-173.129;4547.82 -1.67318;0.0846887
2054.86;5572.92 -4.03317;3.32606
-3601.02;5298.11 0.916318;4.49522
-2502.56;2680.48 -4.67376;1.88986
-928.49;5585.96 0.336161;-3.07916
-4512.48;5875.35 -3.31507;-1.47053
-6126.78;-2061.35 -0.751518;-4.17753
4022.63;3273.48 -0.434431;-3.25282
912.76;-4350.44 -4.58617;-4.3881
-1605.72;7334.59 1.50044;-2.73309
1822.96;-6904.25 0.325175;0.757622
-6621.75;4781.26 -2.71264;0.263222
5331.27;-3926.74 -0.91113;-3.86654
-3780.38;6785.68 -0.498825;3.83602
-6348.26;1047.24 1.55965;3.62239
6937.98;2695.61 0.246742;-1.26301
6902.93;-994.37 4.72198;4.96582
5406.16;-1145.07 4.17051;-0.650807
2589.84;3859.98 -3.67702;0.867183
783.237;6360.2 2.71691;0.908994
4259.63;-406.437 -0.243996;-3.6581
7220.61;-7036.21 -0.364238;2.987
-4963.76;2667.3 0.192419;2.32109
6395.55;-4487 -2.25852;-0.788751
-5587.79;-2141.24 1.96585;3.50002
2580.07;75.3359 -3.081;3.2461
943.299;4409.2 -2.79687;2.44255
4038.72;-2275.82 3.38374;1.01703
-2716.3;575.041 -4.29136;-0.068819
6340.73;4397.32 0.187231;-0.811335
2371.16;-6474.8 -3.90347;1.5688
-7328.91;-363.948 -1.02374;-0.109104
4735.3;-7036.08 -1.82669;0.63097
-3641.97;-4496.71 3.00104;1.69485
3360.29;-5779.2 -3.4286;-2.8338
-680.804;-5806.96 1.37135;-3.16065
5141.35;943.429 -4.36888;3.34895
-1622.78;349.857 4.56603;4.70946
-5921.95;-3115.18 -4.46623;-4.92065
-2002.24;-2422.6 1.19007;1.55995
-7182.21;2494.01 -0.314798;-0.162206
4925.52;-5334.74 -4.01761;-3.50551
5462.75;5255.41 3.34681;0.782952
-5418.82;5845.39 -0.926084;3.69137
-7523.57;4969.52 3.52046;-2.89483
-130.282;-4684.86 -3.5049;0.87878
-1925.94;-6904.02 0.0798059;0.628834
6014.57;-3140.86 1.93411;4.064
-6706.49;1742.14 -1.84622;-1.33808
-2052.86;1874.65 -0.256508;-1.49281
7122.16;-3551.55 1.75985;3.09961
-5542.09;7450.91 -0.800043;-4.05026
3536.83;4212.2 -1.31489;-4.22666
-6085.98;-1445.35 0.0108342;-1.90939
1265.23;-4977.61 -3.37916;0.0553913
-2860.79;-199.867 -0.92822;-3.68801
-231.503;-1473.22 0.544908;-1.29231
2065.36;1223.43 -1.52455;-2.34275
-2592.19;4419.87 1.35395;-2.01437
273.151;-1218.06 4.76897;-2.94458
-3562.88;-7386.04 -4.25321;-2.01193
5468.23;-901.78 -0.539414;-4.1995
-5159.38;2795.76 -2.64306;-0.740532
-6344.71;3546.79 0.779595;-3.72433
-4919.65;2980.21 -0.863826;-4.35881
-4531.25;1745.54 -3.3169;2.93146
-309.559;-7100.6 -3.01477;3.37397
-4952.05;4477.81 -0.887021;-0.489669
-6256.64;-3485.33 4.64019;-3.5522
-3939.28;-4125.72 -0.494858;2.52617
4263.5;3885.17 -0.199133;-1.79495
-537.875;98.2324 -4.45341;0.988037
-3632.75;-2471.97 1.51784;-0.807978
-1835.7;7279.41 -0.816828;2.37877
-3541.14;3115.41 -1.17756;1.25874
3588.73;-1076.78 -4.12229;4.87945
7146.98;-504.565 0.610828;-2.08792
-925.485;-2345.86 -4.8822;-4.15189
-864.509;3146.23 -3.22382;0.918149
172.696;6317.01 2.17399;-3.45454
-5065.15;-3010.91 0.592517;3.15088
-3176.98;1508.57 1.10523;3.11121
4461.09;3541.02 2.34611;-2.30338
2371.87;-3591.3 -0.979186;3.79025
-7420.51;2528.36 4.21873;3.20429
-460.992;-6954.19 1.58467;2.40989
-1669.36;-7221.09 -3.57875;-4.51354
-6839.45;3895.56 -0.225074;-1.89291
1307.49;3486.09 4.5761;-4.62798
4837.48;-7017.63 -2.10898;1.30329
-323.187;-4940.99 -1.65059;2.80816
-5366.92;6019.15 2.81182;-4.06766
157.782;-6044.83 1.33473;-2.79107
-5763.2;-4513.44 4.50346;-2.08335
-5072.12;-2725.42 2.18497;4.06156
2453.89;-618.78 -2.22373;-0.106662
259.94;6513.1 -3.00409;-2.22739
2364.7;25.7852 -4.70519;2.19169
7251.49;-4162.71 2.93909;0.774713
-4725.63;1760.45 1.8334;0.0587482
-5703.07;-5600.42 3.14356;-1.12537
6587.65;-1726.68 -0.215919;-2.8634
1183.73;-1478.35 2.83013;2.85607
3884.04;-5845.33 -4.08353;-4.8117
-4226.85;-2057 -3.30744;-3.66939
-3746.24;5874.77 -0.616321;0.0758386
-3321.82;-3572.98 -2.46696;-0.158544
932.72;-2581.22 0.980407;3.98434
3493.64;-3133.18 -3.85861;1.21113
-3076.72;4527.94 3.65108;3.90042
3643.96;-4253.53 2.43095;2.14652
-28.4702;-611.079 4.24741;-3.66146
-3991.41;1865.33 -2.18101;1.08844
4984.55;3629.29 -3.46278;-1.68264
1458.67;4671.07 -1.13758;2.31498
4995.96;1594.15 -4.53948;4.58617
653.459;-3279.13 2.13767;1.29109
-2945.07;-2681.08 2.63909;1.10065
-6893.96;5422.65 0.374615;-3.72921
4876.79;6171.36 3.13227;4.75219
-1621.29;-129.894 -0.159459;-3.85037
-1024.23;-3799.17 3.44691;-0.659352
-474.634;899.917 -1.02924;4.56572
-2379.67;2824 0.793939;-2.19596
-7211.72;6575.56 -1.74642;0.249794
5601.7;-639.031 3.59645;0.693533
-5610.49;1589.52 1.36128;3.63033
-348.861;507.497 3.24732;0.900449
4494.14;5738.06 -2.46544;-0.319376
5079.29;-3738.29 -2.88263;4.63256
2869.51;-2370.17 -4.78637;-2.9754
-4479.16;-535.845 2.81304;-1.35914
5951.19;-3337.96 -3.07672;3.28547
3050.48;-1609.37 3.68435;3.69686
6631.67;5365.6 -4.59716;-3.31233
6807.86;-6893.23 -4.41862;4.3173
5266.55;5762.31 0.991699;3.91079
2153.23;-3559.51 4.86572;4.74242
-2131.15;-5224.29 0.26017;4.1876
-2782.54;-363.729 -2.33726;1.16169
-4077.16;-862.35 -4.10642;-0.342265
-3546.71;6819.61 0.37492;0.191198
3425.57;-4492.5 -2.17582;1.96982
926.409;4384.4 1.43605;3.5989
-4173.83;3476.8 -4.38536;-4.86908
-4386.39;-850.435 4.32066;-0.718253
4851.42;-5424.95 2.09098;4.61089
-2012.52;6320.44 1.80074;-1.50655
-2886.59;3783.14 -1.77664;2.68975
4432.52;2200.06 1.45466;-0.680716
7197.88;-2271.81 -0.73748;0.0642414
-2014.16;5026.22 2.42485;-3.59645
5188.17;4721.11 2.11936;3.69625
2448.9;1688.39 3.42463;-3.07459
3708.98;1573.13 3.9993;0.914182
4719.66;2546.06 1.99698;2.82678
3448.54;2743.12 2.28446;-0.233314
-2216.7;1585.62 -4.97864;-0.712455
-45.4912;-4548.46 -4.33287;-4.37773
-4177.63;5236.69 0.474105;-0.547044
7099.49;2796.4 -3.46736;4.02219
6678.19;-3729.01 0.43199;-4.59044
-6585;-7036.96 4.59105;-0.219886
6210.02;-4036.5 -4.66643;-4.58678
-1772.28;5330.4 1.76046;2.33634
3458.83;2043.82 -0.513779;-2.63695
-2421.1;4118.97 -1.69912;-2.64275
3855.29;-4729.2 -2.17765;-1.46962
-5601.46;-6651.54 0.195776;4.588
3960.02;-323.843 3.90957;1.53432
6729.29;-7223.68 -2.21488;1.95303
2868.61;3907.89 -0.793634;-3.43165
-1404.86;-6477.17 -4.35148;-4.09146
649.369;-4433.55 3.57173;-0.122837
5246.87;-2982.18 3.73836;-1.95517
-1370.87;4732.23 -2.97906;-1.51753
-6290.34;3945.89 -0.239112;-2.06503
1529.88;-6066 2.73675;1.16108
6466.96;-2333.22 2.81213;2.23991
6660.62;-5815.21 1.32221;-4.33073
-3796.18;-3946.91 -1.74276;0.0569172
-5024.86;-1330.05 -3.68679;2.22251
2702.83;-5786.23 3.86624;4.52361
-2096.6;-1113.15 0.934324;3.21772
6136.95;5227.15 -2.80633;0.667897
3359.29;408.833 -3.89492;-0.78631
4090.72;6611.48 4.21598;-0.489364
-3283.09;3531.07 -0.298624;1.1565
1668.71;-481.25 -0.791498;-1.58406
3570.23;-6819.3 -2.94031;-1.14551
3467.44;3224.51 -4.11588;-2.30583
1364.3;-2859.96 2.73766;-4.29319
-7359.92;-208.391 -0.22782;3.45271
-4589.16;5772.66 3.51985;-0.320292
403.381;6137.2 1.85171;-3.30287
-6692.6;4417.67 2.67632;0.531785
197.92;-7117.26 3.43654;-1.31642
-3995.92;196.543 -4.52849;3.29157
-4351.05;4336.64 2.30522;2.52037
5473.13;-1007.66 -4.07956;-2.01559
6986.48;7281.73 0.0862145;1.01856
4721.45;6432.45 4.79705;-4.39207
351.197;-121.265 0.888852;0.794244
-1354.44;-6147.26 -1.10767;0.360271
-4051.96;-3061.86 1.18732;2.62047
-2292.76;6178.88 1.52181;-1.88589
1023.34;-5040.7 0.953551;-1.97226
3481.94;-1118.98 4.28373;1.14612
3725.6;5358.99 -3.96146;2.1569
-3932.78;-6253.29 0.0663776;-0.889157
-1725.77;-6245.25 1.80776;2.85882
-3012.21;-6752.24 -2.69372;-3.73043
-2799.25;5241.05 -1.97958;-3.95138
1335.97;7310.68 -4.50407;4.96582
1251.34;4255.35 4.96643;-2.69555
172.257;927.764 1.94143;-4.64965
610.565;3514.06 0.84521;-0.278481
4729.16;-1802.26 -0.229957;1.36219
-7326.37;-4041.57 0.401776;-1.98935
-1138.25;4154.15 -2.81121;2.94977
1628.26;-1035.76 4.80773;-1.14612
-3640.03;-5264.71 -2.00766;4.55107
-3086.69;4740.31 2.79351;-2.49809
-2911.28;4180.61 3.31965;-0.180822
4750.23;-1207.02 3.03369;0.629139
3827.35;987.507 4.66216;2.5988
887.357;2246.76 -2.22282;-4.56786
-3159.48;-6323.66 -1.87765;4.15281
-3645.54;5736.77 -2.26768;4.98382
-1537.5;-1342.49 -0.07828;-3.36146
-7282.14;721.02 -1.80288;-0.166479
7241.71;2644.57 3.15699;2.83563
-2016.38;5233.08 -3.55617;-4.14121
-7248.25;-6966.41 -4.19065;2.12027
265.447;-3992.01 0.352641;-1.63259
-5002.94;-2592.07 0.00167847;2.69402
2038.57;-3346.86 -1.70858;2.44865
5374.17;81.2813 2.50694;0.0590534
-2518.92;-1222.18 0.251625;-0.425581
-3633.81;-22.1616 -3.49513;1.74581
-4307.47;-4901.94 0.229347;0.452132
-2981.14;4251.83 4.59166;-1.71224
1709.76;6988.75 -0.141453;4.12412
-5820.81;1760.99 3.03461;0.450606
-608.242;3867.56 3.29432;3.32118
-3029.61;4372.53 -2.7163;2.70562
-5211.03;-6903.08 3.34498;-3.93643
411.217;-5215.24 -1.27247;2.95892
2659.02;1671.25 -1.1449;3.51283
-5122.16;790.69 2.70043;-1.47328
5546.14;-6149.19 3.33888;4.07132
6673.55;2817.95 -2.25913;-1.63747
2618.24;3104.04 4.86236;3.73684
-6061.32;-2802.43 -3.8995;1.5331
1696.69;-5182.11 -2.82403;2.70226
-6585.02;-4716.35 -4.4995;1.9454
-1511.75;1832.01 2.09891;-1.79281
5376.04;2451.65 2.14011;-0.677053
1581.89;5518.65 3.14936;3.64132
-2378.65;6279.6 4.95331;-3.56777
716.289;1735.03 0.429243;3.89309
-949.192;3136.82 1.11774;2.56066
-4573.93;2690.98 -3.24244;-3.04743
4818.74;4628.64 2.81335;3.24
-3772.68;4085.9 -4.94934;1.76504
423.145;-5310.83 -4.77233;-3.77377
-1603.8;5287.8 -3.04224;2.32902
2191.41;-1816.32 -4.18394;3.72524
1454.87;-5228.38 2.74224;-1.94998
-2741.46;-2190.36 4.80865;0.867794
1232.01;3146.78 2.41417;0.341654
2314.57;6333.93 -3.03369;0.437788
-1630.56;4578.38 -1.88589;-4.52269
7267.13;1808.59 4.59288;3.84854
-5963.29;2696.37 -2.25364;3.69137
-6187.9;3405.69 1.78793;-1.63198
2077.79;-5876.58 -0.139927;4.53093
-422.895;-4291.97 -0.0416574;0.598316
4585.75;-451.338 -0.217139;-1.54286
-5684.48;-6439.65 4.57427;-3.80184
-3088.6;1752.55 -2.99585;4.69817
6088;-764.533 3.17713;-4.13663
5246.4;-5063.47 3.80795;-4.65209
1166.62;-2046.87 4.63836;-2.44865
3941.68;-653.424 -4.84619;-4.27946
-793.922;6250.16 -0.33433;4.95758
-4877.87;-2478.86 -0.186621;0.950499
584.215;-1787.78 2.56279;2.24235
2556;-3666.46 2.74865;-1.15619
3104.8;1205.68 4.23521;-4.99145
-5482.95;-3944.21 -1.25172;-1.01917
5928.51;-3369.78 -3.55068;-2.47276
-2071.02;-2290.14 -2.69127;-1.93289
750.387;4681.64 -2.65923;-3.78689
-4263.76;4940.5 -1.23188;1.53462
